area_id,latitude,longitude,is_synthetic
IN-00001,20.271008023769472,85.91464286128199,YES_SYNTHETIC
IN-00002,20.34249878836228,85.8442316968394,YES_SYNTHETIC
IN-00003,20.227303728088486,85.75569890406724,YES_SYNTHETIC
IN-00004,20.207716722433638,85.89773522915499,YES_SYNTHETIC
IN-00005,20.31632300234864,85.8661145155592,YES_SYNTHETIC
IN-00006,20.20021689885916,85.9184819704324,YES_SYNTHETIC
IN-00007,20.362588528160085,85.76696782213565,YES_SYNTHETIC
IN-00008,20.23246499344142,85.76118090197069,YES_SYNTHETIC
IN-00009,20.256948448591906,85.82945128632645,YES_SYNTHETIC
IN-00010,20.282489003728422,85.78274582803961,YES_SYNTHETIC
IN-00011,20.318470578944474,85.7523987721304,YES_SYNTHETIC
IN-00012,20.254528929707043,85.79777236865874,YES_SYNTHETIC
IN-00013,20.287313996843405,85.8815351922786,YES_SYNTHETIC
IN-00014,20.23603475643167,85.82734688768272,YES_SYNTHETIC
IN-00015,20.31458291377241,85.733790082544,YES_SYNTHETIC
IN-00016,20.317608970380288,85.75860482473746,YES_SYNTHETIC
IN-00017,20.209110318597055,85.91427710745067,YES_SYNTHETIC
IN-00018,20.38922640661491,85.88617946962329,YES_SYNTHETIC
IN-00019,20.257022753834672,85.74403442280128,YES_SYNTHETIC
IN-00020,20.332946605302432,85.81253049874792,YES_SYNTHETIC
IN-00021,20.220507646968954,85.82353538202226,YES_SYNTHETIC
IN-00022,20.20297770422304,85.90636408041576,YES_SYNTHETIC
IN-00023,20.247855996320002,85.8570044568708,YES_SYNTHETIC
IN-00024,20.25844221521788,85.82851360423557,YES_SYNTHETIC
IN-00025,20.305442055868657,85.7614708911051,YES_SYNTHETIC
IN-00026,20.39001692555291,85.87952656467222,YES_SYNTHETIC
IN-00027,20.38399978831284,85.90346547008554,YES_SYNTHETIC
IN-00028,20.315679995762217,85.90887484700463,YES_SYNTHETIC
IN-00029,20.213798500410384,85.76369657248382,YES_SYNTHETIC
IN-00030,20.205145457782105,85.78956606615266,YES_SYNTHETIC
IN-00031,20.273835457937896,85.77876980635477,YES_SYNTHETIC
IN-00032,20.361847501830386,85.79585066533872,YES_SYNTHETIC
IN-00033,20.252286901937474,85.83303921663165,YES_SYNTHETIC
IN-00034,20.22428484499495,85.88493939615081,YES_SYNTHETIC
IN-00035,20.211010128735953,85.92187738732011,YES_SYNTHETIC
IN-00036,20.35054895385933,85.76424313630683,YES_SYNTHETIC
IN-00037,20.19720442342472,85.88759228569097,YES_SYNTHETIC
IN-00038,20.33747146876952,85.8703014336082,YES_SYNTHETIC
IN-00039,20.35035406933719,85.73930893034682,YES_SYNTHETIC
IN-00040,20.267793145708854,85.74767381190503,YES_SYNTHETIC
IN-00041,20.368720685175116,85.84915962536552,YES_SYNTHETIC
IN-00042,20.26227960497053,85.7372116700572,YES_SYNTHETIC
IN-00043,20.258296464343132,85.78953666440535,YES_SYNTHETIC
IN-00044,20.342021235667612,85.85201149427104,YES_SYNTHETIC
IN-00045,20.373542548515264,85.8189429850324,YES_SYNTHETIC
IN-00046,20.22001884918766,85.8671489574446,YES_SYNTHETIC
IN-00047,20.34825700972338,85.8367554395139,YES_SYNTHETIC
IN-00048,20.35029343599091,85.82325911927288,YES_SYNTHETIC
IN-00049,20.3006465658764,85.81000820367171,YES_SYNTHETIC
